DN,objectClass,distinguishedName,instanceType,whenCreated,whenChanged,subRefs,uSNCreated,dSASignature,uSNChanged,name,objectGUID,creationTime,forceLogoff,lockoutDuration,lockOutObservationWindow,lockoutThreshold,maxPwdAge,minPwdAge,minPwdLength,modifiedCountAtLastProm,nextRid,pwdProperties,pwdHistoryLength,objectSid,serverState,uASCompat,modifiedCount,auditingPolicy,nTMixedDomain,rIDManagerReference,fSMORoleOwner,systemFlags,wellKnownObjects,objectCategory,isCriticalSystemObject,gPLink,dSCorePropagationData,otherWellKnownObjects,masteredBy,ms-DS-MachineAccountQuota,msDS-Behavior-Version,msDS-PerUserTrustQuota,msDS-AllUsersTrustQuota,msDS-PerUserTrustTombstonesQuota,msDs-masteredBy,msDS-IsDomainFor,msDS-NcType,dc,cn,description,showInAdvancedViewOnly,ou,msDS-TombstoneQuotaFactor,displayName,flags,versionNumber,gPCFunctionalityVersion,gPCFileSysPath,gPCMachineExtensionNames,ipsecName,ipsecID,ipsecDataType,ipsecData,ipsecISAKMPReference,ipsecNFAReference,ipsecOwnersReference,ipsecNegotiationPolicyReference,ipsecFilterReference,iPSECNegotiationPolicyType,iPSECNegotiationPolicyAction,revision,memberOf,userAccountControl,badPwdCount,codePage,countryCode,badPasswordTime,lastLogoff,lastLogon,logonHours,pwdLastSet,primaryGroupID,adminCount,accountExpires,logonCount,sAMAccountName,sAMAccountType,lastLogonTimestamp,groupType,member,samDomainUpdates,localPolicyFlags,operatingSystem,operatingSystemVersion,serverReferenceBL,dNSHostName,rIDSetReferences,servicePrincipalName,msDS-AdditionalDnsHostName,msDS-SupportedEncryptionTypes,msDS-GenerationId,msDFSR-ComputerReferenceBL,rIDAvailablePool,rIDAllocationPool,rIDPreviousAllocationPool,rIDUsedPool,rIDNextRID,dnsRecord,msDFSR-Flags,msDFSR-ReplicationGroupType,msDFSR-FileFilter,msDFSR-DirectoryFilter,serverReference,msDFSR-ComputerReference,msDFSR-MemberReferenceBL,msDFSR-Version,msDFSR-ReplicationGroupGuid,msDFSR-MemberReference,msDFSR-RootPath,msDFSR-StagingPath,msDFSR-Enabled,msDFSR-Options,msDFSR-ContentSetGuid,msDFSR-ReadOnly,sn,physicalDeliveryOfficeName,telephoneNumber,givenName,department,userPrincipalName,mail
"DC=a.root-servers.net,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=HAKAN,DC=LOCAL",dnsNode,"DC=a.root-servers.net,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175449.0Z,20221018175449.0Z,,12484,,12484,a.root-servers.net,X'8e6da162f3f0d04eb0fccc542da6f6b9',,,,,,,,,,,,,,,,,,,,,,,"CN=Dns-Node,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,20221018175449.0Z;16010101000000.0Z,,,,,,,,,,,a.root-servers.net,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X'040001000508000000000000000000000000000000000000c6290004',,,,,,,,,,,,,,,,,,,,,,,
"DC=b.root-servers.net,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=HAKAN,DC=LOCAL",dnsNode,"DC=b.root-servers.net,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175449.0Z,20221018175449.0Z,,12485,,12485,b.root-servers.net,X'e71354422c5d9d4dbddd889948665eef',,,,,,,,,,,,,,,,,,,,,,,"CN=Dns-Node,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,20221018175449.0Z;16010101000000.0Z,,,,,,,,,,,b.root-servers.net,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X'040001000508000000000000000000000000000000000000c0e44fc9',,,,,,,,,,,,,,,,,,,,,,,
"DC=c.root-servers.net,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=HAKAN,DC=LOCAL",dnsNode,"DC=c.root-servers.net,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175449.0Z,20221018175449.0Z,,12486,,12486,c.root-servers.net,X'a0014759cada794daa0e4679be3b966d',,,,,,,,,,,,,,,,,,,,,,,"CN=Dns-Node,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,16010101000000.0Z,,,,,,,,,,,c.root-servers.net,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X'040001000508000000000000000000000000000000000000c021040c',,,,,,,,,,,,,,,,,,,,,,,
"DC=d.root-servers.net,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=HAKAN,DC=LOCAL",dnsNode,"DC=d.root-servers.net,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175449.0Z,20221018175449.0Z,,12487,,12487,d.root-servers.net,X'd9e023f409b810498a20a9e84e83682a',,,,,,,,,,,,,,,,,,,,,,,"CN=Dns-Node,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,16010101000000.0Z,,,,,,,,,,,d.root-servers.net,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X'040001000508000000000000000000000000000000000000c7075b0d',,,,,,,,,,,,,,,,,,,,,,,
"DC=e.root-servers.net,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=HAKAN,DC=LOCAL",dnsNode,"DC=e.root-servers.net,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175449.0Z,20221018175449.0Z,,12488,,12488,e.root-servers.net,X'0897404d630b2243bb7ef3fdc638a7aa',,,,,,,,,,,,,,,,,,,,,,,"CN=Dns-Node,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,16010101000000.0Z,,,,,,,,,,,e.root-servers.net,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X'040001000508000000000000000000000000000000000000c0cbe60a',,,,,,,,,,,,,,,,,,,,,,,
"DC=f.root-servers.net,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=HAKAN,DC=LOCAL",dnsNode,"DC=f.root-servers.net,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175449.0Z,20221018175449.0Z,,12489,,12489,f.root-servers.net,X'9cbc5c6569e1fb45a50abad1b03f4e31',,,,,,,,,,,,,,,,,,,,,,,"CN=Dns-Node,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,16010101000000.0Z,,,,,,,,,,,f.root-servers.net,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X'040001000508000000000000000000000000000000000000c00505f1',,,,,,,,,,,,,,,,,,,,,,,
"DC=g.root-servers.net,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=HAKAN,DC=LOCAL",dnsNode,"DC=g.root-servers.net,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175449.0Z,20221018175449.0Z,,12490,,12490,g.root-servers.net,X'eb94b4c97100ee4296819316d7fb723a',,,,,,,,,,,,,,,,,,,,,,,"CN=Dns-Node,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,16010101000000.0Z,,,,,,,,,,,g.root-servers.net,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X'040001000508000000000000000000000000000000000000c0702404',,,,,,,,,,,,,,,,,,,,,,,
"DC=h.root-servers.net,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=HAKAN,DC=LOCAL",dnsNode,"DC=h.root-servers.net,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175449.0Z,20221018175449.0Z,,12491,,12491,h.root-servers.net,X'1434d533d0033a4591a75398ef4f1800',,,,,,,,,,,,,,,,,,,,,,,"CN=Dns-Node,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,16010101000000.0Z,,,,,,,,,,,h.root-servers.net,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X'040001000508000000000000000000000000000000000000803f0235',,,,,,,,,,,,,,,,,,,,,,,
"DC=i.root-servers.net,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=HAKAN,DC=LOCAL",dnsNode,"DC=i.root-servers.net,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175449.0Z,20221018175449.0Z,,12492,,12492,i.root-servers.net,X'3bdabea0d1fcd8459bdfa939b1ca0818',,,,,,,,,,,,,,,,,,,,,,,"CN=Dns-Node,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,16010101000000.0Z,,,,,,,,,,,i.root-servers.net,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X'040001000508000000000000000000000000000000000000c0249411',,,,,,,,,,,,,,,,,,,,,,,
"DC=j.root-servers.net,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=HAKAN,DC=LOCAL",dnsNode,"DC=j.root-servers.net,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175449.0Z,20221018175449.0Z,,12493,,12493,j.root-servers.net,X'ce20a53ae9f7574d80c6db4d025e185e',,,,,,,,,,,,,,,,,,,,,,,"CN=Dns-Node,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,16010101000000.0Z,,,,,,,,,,,j.root-servers.net,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X'040001000508000000000000000000000000000000000000c03a801e',,,,,,,,,,,,,,,,,,,,,,,
"DC=k.root-servers.net,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=HAKAN,DC=LOCAL",dnsNode,"DC=k.root-servers.net,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175449.0Z,20221018175449.0Z,,12494,,12494,k.root-servers.net,X'84a448cbe16fab42bf47d517e779133b',,,,,,,,,,,,,,,,,,,,,,,"CN=Dns-Node,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,16010101000000.0Z,,,,,,,,,,,k.root-servers.net,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X'040001000508000000000000000000000000000000000000c1000e81',,,,,,,,,,,,,,,,,,,,,,,
"DC=l.root-servers.net,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=HAKAN,DC=LOCAL",dnsNode,"DC=l.root-servers.net,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175449.0Z,20221018175449.0Z,,12495,,12495,l.root-servers.net,X'36c3d318922d4743bf795e66a2a85564',,,,,,,,,,,,,,,,,,,,,,,"CN=Dns-Node,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,16010101000000.0Z,,,,,,,,,,,l.root-servers.net,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X'040001000508000000000000000000000000000000000000c707532a',,,,,,,,,,,,,,,,,,,,,,,
"DC=m.root-servers.net,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=HAKAN,DC=LOCAL",dnsNode,"DC=m.root-servers.net,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175449.0Z,20221018175449.0Z,,12496,,12496,m.root-servers.net,X'1f235f932593f64eace0ef4aac8fb2a9',,,,,,,,,,,,,,,,,,,,,,,"CN=Dns-Node,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,16010101000000.0Z,,,,,,,,,,,m.root-servers.net,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X'040001000508000000000000000000000000000000000000ca0c1b21',,,,,,,,,,,,,,,,,,,,,,,
"CN=DFSR-GlobalSettings,CN=System,DC=HAKAN,DC=LOCAL",msDFSR-GlobalSettings,"CN=DFSR-GlobalSettings,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175455.0Z,20221018175455.0Z,,12530,,12531,DFSR-GlobalSettings,X'5baa8b10ab4b154d9bfc01a04de7ff63',,,,,,,,,,,,,,,,,,,,,,,"CN=ms-DFSR-GlobalSettings,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,16010101000000.0Z,,,,,,,,,,,,DFSR-GlobalSettings,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,
"CN=Domain System Volume,CN=DFSR-GlobalSettings,CN=System,DC=HAKAN,DC=LOCAL",msDFSR-ReplicationGroup,"CN=Domain System Volume,CN=DFSR-GlobalSettings,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175455.0Z,20221018175455.0Z,,12532,,12532,Domain System Volume,X'354968f38807e14aaca69deae3733d77',,,,,,,,,,,,,,,,,,,,,,,"CN=ms-DFSR-ReplicationGroup,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,16010101000000.0Z,,,,,,,,,,,,Domain System Volume,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
"CN=Content,CN=Domain System Volume,CN=DFSR-GlobalSettings,CN=System,DC=HAKAN,DC=LOCAL",msDFSR-Content,"CN=Content,CN=Domain System Volume,CN=DFSR-GlobalSettings,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175455.0Z,20221018175455.0Z,,12533,,12533,Content,X'b8e5a676f98f0048aac3238dafb85f43',,,,,,,,,,,,,,,,,,,,,,,"CN=ms-DFSR-Content,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,16010101000000.0Z,,,,,,,,,,,,Content,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=SYSVOL Share,CN=Content,CN=Domain System Volume,CN=DFSR-GlobalSettings,CN=System,DC=HAKAN,DC=LOCAL",msDFSR-ContentSet,"CN=SYSVOL Share,CN=Content,CN=Domain System Volume,CN=DFSR-GlobalSettings,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175455.0Z,20221018175455.0Z,,12534,,12534,SYSVOL Share,X'745855f0330d48468ec5db6fc8e5821a',,,,,,,,,,,,,,,,,,,,,,,"CN=ms-DFSR-ContentSet,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,16010101000000.0Z,,,,,,,,,,,,SYSVOL Share,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"~*,*.TMP,*.BAK","DO_NOT_REMOVE_NtFrs_PreInstall_Directory,NtFrs_PreExisting___See_EventLog",,,,,,,,,,,,,,,,,,,
"CN=Topology,CN=Domain System Volume,CN=DFSR-GlobalSettings,CN=System,DC=HAKAN,DC=LOCAL",msDFSR-Topology,"CN=Topology,CN=Domain System Volume,CN=DFSR-GlobalSettings,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175455.0Z,20221018175455.0Z,,12535,,12535,Topology,X'664dc508bd48c74590860d0519352238',,,,,,,,,,,,,,,,,,,,,,,"CN=ms-DFSR-Topology,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,16010101000000.0Z,,,,,,,,,,,,Topology,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=WIN-Q61PFPFQTET,CN=Topology,CN=Domain System Volume,CN=DFSR-GlobalSettings,CN=System,DC=HAKAN,DC=LOCAL",msDFSR-Member,"CN=WIN-Q61PFPFQTET,CN=Topology,CN=Domain System Volume,CN=DFSR-GlobalSettings,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175455.0Z,20221018175455.0Z,,12538,,12538,WIN-Q61PFPFQTET,X'aff122654a755b45a8e00c3f011f9906',,,,,,,,,,,,,,,,,,,,,,,"CN=ms-DFSR-Member,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,16010101000000.0Z,,,,,,,,,,,,WIN-Q61PFPFQTET,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CN=NTDS Settings,CN=DC-DNS-ANK,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=HAKAN,DC=LOCAL","CN=DC-DNS-ANK,OU=Domain Controllers,DC=HAKAN,DC=LOCAL","CN=Domain System Volume,CN=DFSR-LocalSettings,CN=DC-DNS-ANK,OU=Domain Controllers,DC=HAKAN,DC=LOCAL",,,,,,,,,,,,,,,,
"CN=DFSR-LocalSettings,CN=DC-DNS-ANK,OU=Domain Controllers,DC=HAKAN,DC=LOCAL",msDFSR-LocalSettings,"CN=DFSR-LocalSettings,CN=DC-DNS-ANK,OU=Domain Controllers,DC=HAKAN,DC=LOCAL",4,20221018175455.0Z,20221018175957.0Z,,12539,,12713,DFSR-LocalSettings,X'0c6846fc496fb14aa5663f75338f280e',,,,,,,,,,,,,,,,,,,,,,,"CN=ms-DFSR-LocalSettings,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,20221018175455.0Z;16010101000000.0Z,,,,,,,,,,,,DFSR-LocalSettings,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,1.0.0.0,,,,,,,,,,,,,,,
"CN=Domain System Volume,CN=DFSR-LocalSettings,CN=DC-DNS-ANK,OU=Domain Controllers,DC=HAKAN,DC=LOCAL",msDFSR-Subscriber,"CN=Domain System Volume,CN=DFSR-LocalSettings,CN=DC-DNS-ANK,OU=Domain Controllers,DC=HAKAN,DC=LOCAL",4,20221018175455.0Z,20221018175455.0Z,,12542,,12542,Domain System Volume,X'3bb4b0c377d91e41b7883fb4b68a9840',,,,,,,,,,,,,,,,,,,,,,,"CN=ms-DFSR-Subscriber,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,16010101000000.0Z,,,,,,,,,,,,Domain System Volume,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X'354968f38807e14aaca69deae3733d77',"CN=WIN-Q61PFPFQTET,CN=Topology,CN=Domain System Volume,CN=DFSR-GlobalSettings,CN=System,DC=HAKAN,DC=LOCAL",,,,,,,,,,,,,
"CN=SYSVOL Subscription,CN=Domain System Volume,CN=DFSR-LocalSettings,CN=DC-DNS-ANK,OU=Domain Controllers,DC=HAKAN,DC=LOCAL",msDFSR-Subscription,"CN=SYSVOL Subscription,CN=Domain System Volume,CN=DFSR-LocalSettings,CN=DC-DNS-ANK,OU=Domain Controllers,DC=HAKAN,DC=LOCAL",4,20221018175455.0Z,20221018175957.0Z,,12543,,12714,SYSVOL Subscription,X'96f7dbea5e3e11409fc074c459679a8e',,,,,,,,,,,,,,,,,,,,,,,"CN=ms-DFSR-Subscription,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,16010101000000.0Z,,,,,,,,,,,,SYSVOL Subscription,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X'354968f38807e14aaca69deae3733d77',,C:\\Windows\\SYSVOL\\domain,C:\\Windows\\SYSVOL\\staging areas\\HAKAN.LOCAL,TRUE,0,X'745855f0330d48468ec5db6fc8e5821a',FALSE,,,,,,,
"CN=Windows Virtual Machine,CN=DC-DNS-ANK,OU=Domain Controllers,DC=HAKAN,DC=LOCAL",serviceConnectionPoint,"CN=Windows Virtual Machine,CN=DC-DNS-ANK,OU=Domain Controllers,DC=HAKAN,DC=LOCAL",4,20221018180141.0Z,20221018180141.0Z,,16397,,16397,Windows Virtual Machine,X'e897e6d4abbe834b80c2a143e51c842f',,,,,,,,,,,,,,,,,,,,,,,"CN=Service-Connection-Point,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,16010101000000.0Z,,,,,,,,,,,,Windows Virtual Machine,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=MBX-ANK,CN=Computers,DC=HAKAN,DC=LOCAL",computer,"CN=MBX-ANK,CN=Computers,DC=HAKAN,DC=LOCAL",4,20221018183935.0Z,20221018184004.0Z,,16515,,16526,MBX-ANK,X'bc719aa2974b2c468fa8d749144a380f',,,,,,,,,,,,,X'0105000000000005150000005c675768c2a54f4a5ee931f750040000',,,,,,,,,,"CN=Computer,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",FALSE,,16010101000000.0Z,,,,,,,,,,,,MBX-ANK,,,,,,,,,,,,,,,,,,,,,,,,4096,0,0,0,0,0,133105922181783035,,133105919756934356,515,,9223372036854775807,8,MBX-ANK$,805306369,133105920034749164,,,,0,Windows Server 2012 R2 Datacenter Evaluation,6.3 (9600),,MBX-ANK.HAKAN.LOCAL,,TERMSRV/MBX-ANK;TERMSRV/MBX-ANK.HAKAN.LOCAL;RestrictedKrbHost/MBX-ANK;HOST/MBX-ANK;RestrictedKrbHost/MBX-ANK.HAKAN.LOCAL;HOST/MBX-ANK.HAKAN.LOCAL,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Windows Virtual Machine,CN=MBX-ANK,CN=Computers,DC=HAKAN,DC=LOCAL",serviceConnectionPoint,"CN=Windows Virtual Machine,CN=MBX-ANK,CN=Computers,DC=HAKAN,DC=LOCAL",4,20221018184004.0Z,20221018184004.0Z,,16524,,16524,Windows Virtual Machine,X'e2a85050e8b7944aa1304c8cc9f6903b',,,,,,,,,,,,,,,,,,,,,,,"CN=Service-Connection-Point,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,16010101000000.0Z,,,,,,,,,,,,Windows Virtual Machine,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=DHCP-ANK,CN=Computers,DC=HAKAN,DC=LOCAL",computer,"CN=DHCP-ANK,CN=Computers,DC=HAKAN,DC=LOCAL",4,20221018184800.0Z,20221018184820.0Z,,16542,,16553,DHCP-ANK,X'5943a45ec2b43449aa64fdd512d63a9d',,,,,,,,,,,,,X'0105000000000005150000005c675768c2a54f4a5ee931f751040000',,,,,,,,,,"CN=Computer,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",FALSE,,16010101000000.0Z,,,,,,,,,,,,DHCP-ANK,,,,,,,,,,,,,,,,,,,,,,,,4096,0,0,0,0,0,133105925066804994,,133105924801382303,515,,9223372036854775807,5,DHCP-ANK$,805306369,133105924981388918,,,,0,Windows Server 2012 R2 Datacenter Evaluation,6.3 (9600),,DHCP-ANK.HAKAN.LOCAL,,TERMSRV/DHCP-ANK;TERMSRV/DHCP-ANK.HAKAN.LOCAL;RestrictedKrbHost/DHCP-ANK;HOST/DHCP-ANK;RestrictedKrbHost/DHCP-ANK.HAKAN.LOCAL;HOST/DHCP-ANK.HAKAN.LOCAL,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Windows Virtual Machine,CN=DHCP-ANK,CN=Computers,DC=HAKAN,DC=LOCAL",serviceConnectionPoint,"CN=Windows Virtual Machine,CN=DHCP-ANK,CN=Computers,DC=HAKAN,DC=LOCAL",4,20221018184819.0Z,20221018184819.0Z,,16551,,16551,Windows Virtual Machine,X'6ec139f42c05754599a5b3cb05f0049a',,,,,,,,,,,,,,,,,,,,,,,"CN=Service-Connection-Point,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,16010101000000.0Z,,,,,,,,,,,,Windows Virtual Machine,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=CAS-ANK,CN=Computers,DC=HAKAN,DC=LOCAL",computer,"CN=CAS-ANK,CN=Computers,DC=HAKAN,DC=LOCAL",4,20221018185409.0Z,20221018185427.0Z,,16561,,16572,CAS-ANK,X'af67cc83236dd145ac89f72f71bb84a8',,,,,,,,,,,,,X'0105000000000005150000005c675768c2a54f4a5ee931f752040000',,,,,,,,,,"CN=Computer,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",FALSE,,16010101000000.0Z,,,,,,,,,,,,CAS-ANK,,,,,,,,,,,,,,,,,,,,,,,,4096,0,0,0,0,0,133105928746529739,,133105928493560265,515,,9223372036854775807,5,CAS-ANK$,805306369,133105928662698331,,,,0,Windows Server 2012 R2 Datacenter Evaluation,6.3 (9600),,CAS-ANK.HAKAN.LOCAL,,TERMSRV/CAS-ANK;TERMSRV/CAS-ANK.HAKAN.LOCAL;RestrictedKrbHost/CAS-ANK;HOST/CAS-ANK;RestrictedKrbHost/CAS-ANK.HAKAN.LOCAL;HOST/CAS-ANK.HAKAN.LOCAL,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Windows Virtual Machine,CN=CAS-ANK,CN=Computers,DC=HAKAN,DC=LOCAL",serviceConnectionPoint,"CN=Windows Virtual Machine,CN=CAS-ANK,CN=Computers,DC=HAKAN,DC=LOCAL",4,20221018185426.0Z,20221018185426.0Z,,16570,,16570,Windows Virtual Machine,X'72e8b8df062e7f48a2bd5c20aaa4dfb5',,,,,,,,,,,,,,,,,,,,,,,"CN=Service-Connection-Point,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,16010101000000.0Z,,,,,,,,,,,,Windows Virtual Machine,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
